Time Interval,Reserve Type,Type of Product,Source,Up price,Down Price,Currency,Price type
04.01.2024 22:00 - 04.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,95.0,94.86,EUR,MARGINAL
04.01.2024 23:00 - 05.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,88.83,88.83,EUR,MARGINAL
05.01.2024 00:00 - 05.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,88.83,88.83,EUR,MARGINAL
05.01.2024 01:00 - 05.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,83.09,78.0,EUR,MARGINAL
05.01.2024 02:00 - 05.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,80.0,71.0,EUR,MARGINAL
05.01.2024 03:00 - 05.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,80.17,71.0,EUR,MARGINAL
05.01.2024 04:00 - 05.01.2024 05:00 (CET/CEST),mFRR,Not Specified,Not specified,82.49,71.0,EUR,MARGINAL
05.01.2024 05:00 - 05.01.2024 06:00 (CET/CEST),mFRR,Not Specified,Not specified,88.14,70.0,EUR,MARGINAL
05.01.2024 06:00 - 05.01.2024 07:00 (CET/CEST),mFRR,Not Specified,Not specified,109.79,65.0,EUR,MARGINAL
05.01.2024 07:00 - 05.01.2024 08:00 (CET/CEST),mFRR,Not Specified,Not specified,165.01,105.0,EUR,MARGINAL
05.01.2024 08:00 - 05.01.2024 09:00 (CET/CEST),mFRR,Not Specified,Not specified,299.01,150.0,EUR,MARGINAL
05.01.2024 09:00 - 05.01.2024 10:00 (CET/CEST),mFRR,Not Specified,Not specified,249.12,150.0,EUR,MARGINAL
05.01.2024 10:00 - 05.01.2024 11:00 (CET/CEST),mFRR,Not Specified,Not specified,255.86,150.0,EUR,MARGINAL
05.01.2024 11:00 - 05.01.2024 12:00 (CET/CEST),mFRR,Not Specified,Not specified,211.511,211.11,EUR,MARGINAL
05.01.2024 12:00 - 05.01.2024 13:00 (CET/CEST),mFRR,Not Specified,Not specified,203.28,105.0,EUR,MARGINAL
05.01.2024 13:00 - 05.01.2024 14:00 (CET/CEST),mFRR,Not Specified,Not specified,196.98,105.0,EUR,MARGINAL
05.01.2024 14:00 - 05.01.2024 15:00 (CET/CEST),mFRR,Not Specified,Not specified,197.86,105.0,EUR,MARGINAL
05.01.2024 15:00 - 05.01.2024 16:00 (CET/CEST),mFRR,Not Specified,Not specified,299.94,105.0,EUR,MARGINAL
05.01.2024 16:00 - 05.01.2024 17:00 (CET/CEST),mFRR,Not Specified,Not specified,449.64,105.0,EUR,MARGINAL
05.01.2024 17:00 - 05.01.2024 18:00 (CET/CEST),mFRR,Not Specified,Not specified,526.25,105.0,EUR,MARGINAL
05.01.2024 18:00 - 05.01.2024 19:00 (CET/CEST),mFRR,Not Specified,Not specified,349.95,105.0,EUR,MARGINAL
05.01.2024 19:00 - 05.01.2024 20:00 (CET/CEST),mFRR,Not Specified,Not specified,181.91,105.0,EUR,MARGINAL
05.01.2024 20:00 - 05.01.2024 21:00 (CET/CEST),mFRR,Not Specified,Not specified,149.6,105.0,EUR,MARGINAL
05.01.2024 21:00 - 05.01.2024 22:00 (CET/CEST),mFRR,Not Specified,Not specified,112.82,105.0,EUR,MARGINAL
05.01.2024 22:00 - 05.01.2024 23:00 (CET/CEST),mFRR,Not Specified,Not specified,100.1,98.6,EUR,MARGINAL
05.01.2024 23:00 - 06.01.2024 00:00 (CET/CEST),mFRR,Not Specified,Not specified,92.87,92.87,EUR,MARGINAL
06.01.2024 00:00 - 06.01.2024 01:00 (CET/CEST),mFRR,Not Specified,Not specified,103.47,84.88,EUR,MARGINAL
06.01.2024 01:00 - 06.01.2024 02:00 (CET/CEST),mFRR,Not Specified,Not specified,95.0,83.2,EUR,MARGINAL
06.01.2024 02:00 - 06.01.2024 03:00 (CET/CEST),mFRR,Not Specified,Not specified,94.33,82.03,EUR,MARGINAL
06.01.2024 03:00 - 06.01.2024 04:00 (CET/CEST),mFRR,Not Specified,Not specified,93.0,82.18,EUR,MARGINAL
