ISP (CET/CEST),Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
04/01/2023 00:00:00 - 04/01/2023 01:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,105.0,92.56
04/01/2023 01:00:00 - 04/01/2023 02:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,105.0,84.93
04/01/2023 02:00:00 - 04/01/2023 03:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,99.73,69.93
04/01/2023 03:00:00 - 04/01/2023 04:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,82.07,69.26
04/01/2023 04:00:00 - 04/01/2023 05:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,71.75,58.0
04/01/2023 05:00:00 - 04/01/2023 06:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,81.73,45.0
04/01/2023 06:00:00 - 04/01/2023 07:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,99.99,87.44
04/01/2023 07:00:00 - 04/01/2023 08:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,137.5,105.06
04/01/2023 08:00:00 - 04/01/2023 09:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,137.5,114.96
04/01/2023 09:00:00 - 04/01/2023 10:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,154.34,125.45
04/01/2023 10:00:00 - 04/01/2023 11:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,154.34,126.99
04/01/2023 11:00:00 - 04/01/2023 12:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,140.28,126.35
04/01/2023 12:00:00 - 04/01/2023 13:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,154.0,123.78
04/01/2023 13:00:00 - 04/01/2023 14:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,157.0,121.81
04/01/2023 14:00:00 - 04/01/2023 15:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,157.0,120.4
04/01/2023 15:00:00 - 04/01/2023 16:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,155.5,123.89
04/01/2023 16:00:00 - 04/01/2023 17:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,145.0,127.05
04/01/2023 17:00:00 - 04/01/2023 18:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,127.14,127.14
04/01/2023 18:00:00 - 04/01/2023 19:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,145.0,126.19
04/01/2023 19:00:00 - 04/01/2023 20:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,123.72,123.72
04/01/2023 20:00:00 - 04/01/2023 21:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,135.0,120.11
04/01/2023 21:00:00 - 04/01/2023 22:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,123.48,121.83
04/01/2023 22:00:00 - 04/01/2023 23:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,115.64,115.64
04/01/2023 23:00:00 - 05/01/2023 00:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,109.95,109.95
05/01/2023 00:00:00 - 05/01/2023 01:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,110.5,101.28
05/01/2023 01:00:00 - 05/01/2023 02:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,96.94,96.94
05/01/2023 02:00:00 - 05/01/2023 03:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,96.24,96.24
05/01/2023 03:00:00 - 05/01/2023 04:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,90.12,90.12
05/01/2023 04:00:00 - 05/01/2023 05:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,99.91,99.91
05/01/2023 05:00:00 - 05/01/2023 06:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,101.28,86.5
05/01/2023 06:00:00 - 05/01/2023 07:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,110.02,96.5
05/01/2023 07:00:00 - 05/01/2023 08:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,120.24,120.24
05/01/2023 08:00:00 - 05/01/2023 09:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,139.0,122.13
05/01/2023 09:00:00 - 05/01/2023 10:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,149.23,129.56
05/01/2023 10:00:00 - 05/01/2023 11:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,157.0,136.14
05/01/2023 11:00:00 - 05/01/2023 12:00:00,SCA|NO2,mFRR,Not Specified,Not Specified,MARGINAL,162.91,143.07
