Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2023-01-10 Kl. 13-14;1.85531;1.85531;1.67969;0.45078;1.85531
2023-01-10 Kl. 14-15;1.87149;1.87149;1.67876;0.46107;1.87149
2023-01-10 Kl. 15-16;1.87811;1.87811;1.66074;0.47008;1.87811
2023-01-10 Kl. 16-17;1.84658;1.84658;1.58770;0.46308;1.84658
2023-01-10 Kl. 17-18;1.88355;1.88355;1.54714;0.43190;1.88355
2023-01-10 Kl. 18-19;1.81701;1.81701;1.42466;0.41653;1.81701
2023-01-10 Kl. 19-20;1.60996;1.60996;1.45886;0.42056;1.60996
2023-01-10 Kl. 20-21;1.44652;1.44652;1.40028;0.41876;1.44652
2023-01-10 Kl. 21-22;1.28972;1.28972;1.14696;0.41685;1.28972
2023-01-10 Kl. 22-23;1.11224;1.11224;1.05179;0.40412;1.11224
2023-01-10 Kl. 23-00;0.73924;0.73924;0.73924;0.43456;0.73924
2023-01-11 Kl. 00-01;0.56089;0.56089;0.56089;0.41103;0.70769
2023-01-11 Kl. 01-02;0.37006;0.37006;0.37006;0.29605;0.71236
2023-01-11 Kl. 02-03;0.33590;0.33590;0.33590;0.26872;0.68860
2023-01-11 Kl. 03-04;0.30120;0.30120;0.32563;0.26050;0.67566
2023-01-11 Kl. 04-05;0.34016;0.34016;0.34016;0.27213;0.66311
2023-01-11 Kl. 05-06;0.35498;0.35498;0.35498;0.28398;0.59999
2023-01-11 Kl. 06-07;0.82486;0.82486;0.64776;0.38049;0.82486
2023-01-11 Kl. 07-08;1.32690;1.32690;0.95404;0.42523;1.32690
2023-01-11 Kl. 08-09;1.58966;1.58966;0.97031;0.44071;1.58966
2023-01-11 Kl. 09-10;1.68868;1.68868;0.93363;0.44636;1.68868
2023-01-11 Kl. 10-11;1.70322;1.70322;0.91934;0.44434;1.70322
2023-01-11 Kl. 11-12;1.66560;1.66560;0.92467;0.44145;1.66560
2023-01-11 Kl. 12-13;1.56124;1.56124;0.91894;0.44498;1.56124
2023-01-11 Kl. 13-14;1.51026;1.51026;0.89145;0.44530;1.51026
2023-01-11 Kl. 14-15;1.54455;1.54455;0.92775;0.43430;1.54455
2023-01-11 Kl. 15-16;1.57071;1.57071;1.01303;0.43686;1.57071
2023-01-11 Kl. 16-17;1.59073;1.59073;1.02544;0.43878;1.59073
2023-01-11 Kl. 17-18;1.71190;1.71190;0.98860;0.43612;1.71190
2023-01-11 Kl. 18-19;1.71831;1.71831;1.00195;0.43473;1.71831
2023-01-11 Kl. 19-20;1.63744;1.63744;0.90732;0.43259;1.63744
2023-01-11 Kl. 20-21;1.52881;1.52881;0.86956;0.42982;1.52881
2023-01-11 Kl. 21-22;1.35091;1.35091;0.80084;0.42576;1.35091
2023-01-11 Kl. 22-23;1.26298;1.26298;0.66605;0.39971;1.26298
2023-01-11 Kl. 23-00;0.95430;0.95430;0.57811;0.37526;0.95430
2023-01-12 Kl. 00-01;0.95146;0.95146;0.33123;0.26498;0.95146
2023-01-12 Kl. 01-02;0.08224;0.08224;0.32585;0.26068;0.79116
2023-01-12 Kl. 02-03;0.19779;0.19779;0.32531;0.26025;0.77814
2023-01-12 Kl. 03-04;0.20236;0.20236;0.32544;0.26035;0.77424
2023-01-12 Kl. 04-05;0.53626;0.53626;0.32598;0.26078;0.77303
2023-01-12 Kl. 05-06;0.67157;0.67157;0.33511;0.26809;0.79050
2023-01-12 Kl. 06-07;1.23391;1.23391;0.48386;0.38709;1.23391
2023-01-12 Kl. 07-08;1.49889;1.49889;0.80595;0.42020;1.49889
2023-01-12 Kl. 08-09;1.45347;1.45347;0.87583;0.42697;1.45347
2023-01-12 Kl. 09-10;1.38467;1.38467;0.87380;0.44385;1.38467
2023-01-12 Kl. 10-11;1.38119;1.38119;0.89086;0.44611;1.38119
2023-01-12 Kl. 11-12;1.39905;1.39905;0.89651;0.44589;1.39905
2023-01-12 Kl. 12-13;1.38643;1.38643;0.89490;0.44546;1.38643
2023-01-12 Kl. 13-14;1.37876;1.37876;0.95200;0.44514;1.37876
2023-01-12 Kl. 14-15;1.39449;1.39449;0.99111;0.44213;1.39449
2023-01-12 Kl. 15-16;1.41330;1.41330;1.00025;0.43740;1.41330
2023-01-12 Kl. 16-17;1.40349;1.40349;1.00521;0.43106;1.40349
2023-01-12 Kl. 17-18;1.55009;1.55009;1.02645;0.43213;1.55009
2023-01-12 Kl. 18-19;1.60558;1.60558;1.05681;0.43482;1.60558
2023-01-12 Kl. 19-20;1.44273;1.44273;1.07254;0.43890;1.44273
2023-01-12 Kl. 20-21;1.37486;1.37486;0.99541;0.45460;1.37486
2023-01-12 Kl. 21-22;1.31319;1.31319;1.00629;0.44987;1.31319
2023-01-12 Kl. 22-23;1.15934;1.15934;1.00656;0.44987;1.15934
2023-01-12 Kl. 23-00;0.57094;0.57094;0.92500;0.44793;0.92500
2023-01-13 Kl. 00-01;0.54519;0.54519;0.96269;0.35020;0.96269
2023-01-13 Kl. 01-02;0.29331;0.29331;0.93720;0.26394;0.93720
2023-01-13 Kl. 02-03;0.22183;0.22183;0.93909;0.26383;0.93909
2023-01-13 Kl. 03-04;0.24758;0.24758;0.94457;0.26416;0.94457
2023-01-13 Kl. 04-05;0.33288;0.33288;0.95464;0.26630;0.95464
2023-01-13 Kl. 05-06;0.40664;0.40664;0.97865;0.32531;0.97865
2023-01-13 Kl. 06-07;0.77961;0.77961;1.02089;0.48550;1.02089
2023-01-13 Kl. 07-08;1.21751;1.21751;1.21751;0.59848;1.21751
2023-01-13 Kl. 08-09;1.45959;1.45959;1.32789;0.61264;1.45959
2023-01-13 Kl. 09-10;1.39011;1.39011;1.34599;0.65749;1.39011
2023-01-13 Kl. 10-11;1.31568;1.31568;1.31568;0.64150;1.31568
2023-01-13 Kl. 11-12;1.26311;1.26311;1.26311;0.63367;1.26311
2023-01-13 Kl. 12-13;1.23709;1.23709;1.23709;0.69848;1.23709
2023-01-13 Kl. 13-14;1.22086;1.22086;1.22086;0.69794;1.22086
2023-01-13 Kl. 14-15;1.21764;1.21764;1.08875;0.61168;1.21764
2023-01-13 Kl. 15-16;1.26311;1.26311;1.11518;0.59848;1.26311
2023-01-13 Kl. 16-17;1.31246;1.31246;1.14415;0.59859;1.31246
2023-01-13 Kl. 17-18;1.34116;1.34116;1.29959;0.61264;1.34116
2023-01-13 Kl. 18-19;1.34210;1.34210;1.29020;0.61221;1.34210
2023-01-13 Kl. 19-20;1.32749;1.32749;1.22140;0.59848;1.32749
2023-01-13 Kl. 20-21;1.28121;1.28121;1.13919;0.59043;1.28121
2023-01-13 Kl. 21-22;1.26311;1.26311;1.05993;0.53528;1.26311
2023-01-13 Kl. 22-23;1.29798;1.29798;1.06059;0.49827;1.29798
2023-01-13 Kl. 23-00;1.26311;1.26311;1.03699;0.46458;1.26311
2023-01-14 Kl. 00-01;1.37998;1.37998;0.94931;0.45128;1.37998
2023-01-14 Kl. 01-02;1.29681;1.29681;0.93219;0.45021;1.29681
2023-01-14 Kl. 02-03;1.22514;1.22514;0.92498;0.45032;1.28691
2023-01-14 Kl. 03-04;1.07459;1.07459;0.92083;0.45192;1.28531
2023-01-14 Kl. 04-05;0.56424;0.56424;0.92939;0.44604;1.28438
2023-01-14 Kl. 05-06;0.56664;0.56664;0.95733;0.44583;1.28424
2023-01-14 Kl. 06-07;0.62294;0.62294;1.11323;0.45706;1.16524
2023-01-14 Kl. 07-08;1.06911;1.06911;1.06911;0.45011;1.06911
2023-01-14 Kl. 08-09;1.15441;1.15441;1.15321;0.45192;1.15441
2023-01-14 Kl. 09-10;1.29400;1.29400;1.17166;0.45984;1.29400
2023-01-14 Kl. 10-11;1.33611;1.33611;1.19131;0.46315;1.33611
2023-01-14 Kl. 11-12;1.37021;1.37021;1.19038;0.46647;1.37021
2023-01-14 Kl. 12-13;1.35857;1.35857;1.14799;0.47021;1.35857
2023-01-14 Kl. 13-14;1.29654;1.29654;1.07299;0.47620;1.29654
2023-01-14 Kl. 14-15;1.29640;1.29640;1.00065;0.47834;1.29640
2023-01-14 Kl. 15-16;1.29628;1.29628;0.98901;0.48433;1.29628
2023-01-14 Kl. 16-17;1.33679;1.33679;1.01496;0.48883;1.33679
2023-01-14 Kl. 17-18;1.37101;1.37101;0.98448;0.49300;1.37101
2023-01-14 Kl. 18-19;1.39334;1.39334;0.92939;0.49706;1.39334
2023-01-14 Kl. 19-20;1.38051;1.38051;0.83846;0.49064;1.38051
2023-01-14 Kl. 20-21;1.33986;1.33986;0.79515;0.48498;1.33986
2023-01-14 Kl. 21-22;1.28611;1.28611;0.69500;0.46722;1.28611
2023-01-14 Kl. 22-23;1.20910;1.20910;0.56316;0.42839;1.26405
2023-01-14 Kl. 23-00;0.89435;0.89435;0.47225;0.37780;1.25323
2023-01-15 Kl. 00-01;0.77738;0.77738;0.36668;0.29334;1.31441
2023-01-15 Kl. 01-02;0.36440;0.36440;0.36440;0.29152;1.31228
2023-01-15 Kl. 02-03;0.32493;0.32493;0.32493;0.25994;1.33128
