Dato/klokkeslett;NO1;NO2;NO3;NO4;NO5
2020-01-07 Kl. 07-08;0.38126;0.38126;0.36390;0.29112;0.38126
2020-01-07 Kl. 08-09;0.38361;0.38361;0.36674;0.29339;0.38361
2020-01-07 Kl. 09-10;0.38115;0.38115;0.36735;0.29388;0.38115
2020-01-07 Kl. 10-11;0.37806;0.37806;0.36846;0.29477;0.37806
2020-01-07 Kl. 11-12;0.37646;0.37646;0.36895;0.29516;0.37646
2020-01-07 Kl. 12-13;0.37536;0.37536;0.37129;0.29703;0.37536
2020-01-07 Kl. 13-14;0.37548;0.37548;0.37387;0.29910;0.37548
2020-01-07 Kl. 14-15;0.37560;0.37560;0.37351;0.29881;0.37560
2020-01-07 Kl. 15-16;0.37979;0.37979;0.36908;0.29526;0.37979
2020-01-07 Kl. 16-17;0.37819;0.37819;0.36821;0.29457;0.37819
2020-01-07 Kl. 17-18;0.37610;0.37610;0.36636;0.29309;0.37610
2020-01-07 Kl. 18-19;0.37166;0.37166;0.36699;0.29359;0.37166
2020-01-07 Kl. 19-20;0.36280;0.36280;0.36280;0.29024;0.36280
2020-01-07 Kl. 20-21;0.35257;0.35257;0.35257;0.28206;0.35257
2020-01-07 Kl. 21-22;0.34458;0.34458;0.34458;0.27566;0.34458
2020-01-07 Kl. 22-23;0.33755;0.33755;0.33164;0.26531;0.33755
2020-01-07 Kl. 23-00;0.34001;0.34001;0.29814;0.23851;0.34001
2020-01-08 Kl. 00-01;0.30096;0.30096;0.23735;0.18988;0.30096
2020-01-08 Kl. 01-02;0.30539;0.30539;0.22922;0.18338;0.30539
2020-01-08 Kl. 02-03;0.27685;0.27685;0.20819;0.16655;0.27685
2020-01-08 Kl. 03-04;0.25125;0.25125;0.19096;0.15277;0.25125
2020-01-08 Kl. 04-05;0.24621;0.24621;0.19096;0.15277;0.24621
2020-01-08 Kl. 05-06;0.28300;0.28300;0.25519;0.20415;0.28300
2020-01-08 Kl. 06-07;0.32238;0.32238;0.31463;0.25170;0.32238
2020-01-08 Kl. 07-08;0.33209;0.33209;0.33209;0.26567;0.33209
2020-01-08 Kl. 08-09;0.33640;0.33640;0.33640;0.26912;0.33640
2020-01-08 Kl. 09-10;0.34354;0.34354;0.33516;0.26813;0.34354
2020-01-08 Kl. 10-11;0.34489;0.34489;0.33529;0.26823;0.34489
2020-01-08 Kl. 11-12;0.34476;0.34476;0.33554;0.26843;0.34476
2020-01-08 Kl. 12-13;0.34452;0.34452;0.33579;0.26863;0.34452
2020-01-08 Kl. 13-14;0.34428;0.34428;0.33689;0.26951;0.34428
2020-01-08 Kl. 14-15;0.34526;0.34526;0.34021;0.27217;0.34526
2020-01-08 Kl. 15-16;0.34994;0.34994;0.34268;0.27414;0.34994
2020-01-08 Kl. 16-17;0.35535;0.35535;0.34230;0.27384;0.35535
2020-01-08 Kl. 17-18;0.35708;0.35708;0.33984;0.27187;0.35708
2020-01-08 Kl. 18-19;0.35621;0.35621;0.33996;0.27197;0.35621
2020-01-08 Kl. 19-20;0.35338;0.35338;0.34009;0.27207;0.35338
2020-01-08 Kl. 20-21;0.35190;0.35190;0.33628;0.26902;0.35190
2020-01-08 Kl. 21-22;0.35080;0.35080;0.33295;0.26636;0.35080
2020-01-08 Kl. 22-23;0.34661;0.34661;0.32324;0.25859;0.34661
2020-01-08 Kl. 23-00;0.34366;0.34366;0.29888;0.23910;0.34366
2020-01-09 Kl. 00-01;0.31066;0.31066;0.26396;0.21117;0.31066
2020-01-09 Kl. 01-02;0.31226;0.31226;0.25336;0.20269;0.31226
2020-01-09 Kl. 02-03;0.31609;0.31609;0.24621;0.19697;0.31609
2020-01-09 Kl. 03-04;0.31695;0.31695;0.25978;0.20782;0.31695
2020-01-09 Kl. 04-05;0.31954;0.31954;0.28750;0.23000;0.31954
2020-01-09 Kl. 05-06;0.32336;0.32336;0.30672;0.24538;0.32336
2020-01-09 Kl. 06-07;0.32780;0.32780;0.31880;0.25504;0.32780
2020-01-09 Kl. 07-08;0.34135;0.34135;0.32213;0.25770;0.34135
2020-01-09 Kl. 08-09;0.34813;0.34813;0.32484;0.25987;0.34813
2020-01-09 Kl. 09-10;0.34886;0.34886;0.32705;0.26164;0.34886
2020-01-09 Kl. 10-11;0.34998;0.34998;0.32829;0.26263;0.34998
2020-01-09 Kl. 11-12;0.34961;0.34961;0.32915;0.26332;0.34961
2020-01-09 Kl. 12-13;0.34862;0.34862;0.33149;0.26519;0.34862
2020-01-09 Kl. 13-14;0.34961;0.34961;0.33224;0.26579;0.34961
2020-01-09 Kl. 14-15;0.35121;0.35121;0.33433;0.26746;0.35121
2020-01-09 Kl. 15-16;0.35441;0.35441;0.33605;0.26884;0.35441
2020-01-09 Kl. 16-17;0.35713;0.35713;0.33704;0.26697;0.35713
