Date,DK1,DK2,FI,NO1,NO2,NO2NSL,NO3,NO4,NO5,SE1,SE2,SE3,SE4
2024-08-15,1003.89,1004.4699999999999,95.455,246.255,651.54,0.0,220.51,226.64,251.22749999999996,76.47999999999999,80.58000000000001,63.14750000000001,333.65500000000003
2024-08-16,1216.7,1215.7600000000002,70.395,200.64,835.03,0.0,80.52000000000001,70.76500000000001,193.07,42.765,79.60249999999999,82.14,877.8025
2024-08-17,1252.7700000000002,1219.525,336.53999999999996,151.23000000000002,803.5649999999999,0.0,148.77500000000003,153.91500000000002,151.35500000000002,137.55,117.035,143.26000000000002,1060.6374999999998
2024-08-18,1183.78,1156.9575,228.84,133.45,675.1400000000001,0.0,138.3925,132.865,140.835,136.32,101.40000000000003,137.905,1159.8575
2024-08-19,1413.92,1405.2675,92.4025,129.145,842.27,0.0,89.59250000000002,85.62,132.19,94.39250000000001,92.03750000000001,93.39,232.72999999999996
2024-08-20,783.53,961.7399999999999,74.23,72.85999999999999,633.46,0.0,59.7425,79.37,71.095,7.965000000000003,63.68000000000001,55.349999999999994,43.370000000000005
2024-08-21,334.40000000000003,318.84999999999997,1.379999999999999,13.084999999999997,320.3525,0.0,70.07999999999998,71.8675,12.019999999999998,6.49,-11.975000000000001,3.8725000000000023,-8.98
2024-08-22,167.8,172.63000000000002,34.9525,42.09,136.1325,0.0,57.919999999999995,56.95,42.09,37.775,22.349999999999998,41.730000000000004,18.979999999999997
2024-08-23,86.425,94.6,153.67000000000002,3.2249999999999996,84.08,0.0,42.04,42.04,11.555000000000001,-19.0575,-14.5775,-25.997500000000002,-12.127500000000001
2024-08-24,432.87,374.33,-143.2625,-15.7,307.43499999999995,0.0,-25.4475,-27.515,-3.67,-176.1225,-183.2625,-157.81,-149.315
2024-08-25,-90.8,-97.64,-106.84,-104.74749999999999,-57.1,0.0,-14.88,-12.500000000000002,-52.47,-140.22,-137.82999999999998,-173.44,-141.17000000000002
2024-08-26,236.67000000000002,579.4875,-15.83,8.997499999999999,235.32999999999998,0.0,-9.350000000000001,-4.02,18.689999999999998,-15.985,-56.11,-34.17,-54.12
2024-08-27,879.7299999999999,1042.8525,18.1925,14.71,507.05000000000007,0.0,18.52,3.8275000000000006,20.74,15.369999999999997,11.417499999999997,-9.660000000000004,341.43000000000006
2024-08-28,1181.06,647.9100000000001,30.82,16.585000000000008,535.27,0.0,26.487499999999997,37.68,35.870000000000005,28.04,15.04,-18.510000000000005,36.64
2024-08-29,1390.9425,1028.58,99.29749999999999,-30.14999999999999,526.44,0.0,55.85,57.565,8.32,36.075,24.43,40.07,54.8
2024-08-30,1478.4025,1485.3500000000001,17.6,-18.127499999999998,594.2725,0.0,95.175,93.5,-0.11500000000000021,14.92,16.99,16.4,-58.25
