AREA,'ISP','Reserve Type','Type of Product','Direction','Offered','Activated','Unavailable'
NO1 SCA,'12.09.2023 12:45 - 12.09.2023 13:00 (CET/CEST)','mFRR','Local','Down','112','0',''
NO1 SCA,'12.09.2023 13:00 - 12.09.2023 13:15 (CET/CEST)','mFRR','Local','Up','187','0',''
NO1 SCA,'12.09.2023 13:00 - 12.09.2023 13:15 (CET/CEST)','mFRR','Local','Down','80','0',''
NO1 SCA,'12.09.2023 13:15 - 12.09.2023 13:30 (CET/CEST)','mFRR','Local','Up','187','0',''
NO1 SCA,'12.09.2023 13:15 - 12.09.2023 13:30 (CET/CEST)','mFRR','Local','Down','80','0',''
NO1 SCA,'12.09.2023 13:30 - 12.09.2023 13:45 (CET/CEST)','mFRR','Local','Up','187','0',''
NO1 SCA,'12.09.2023 13:30 - 12.09.2023 13:45 (CET/CEST)','mFRR','Local','Down','80','0',''
NO1 SCA,'12.09.2023 13:45 - 12.09.2023 14:00 (CET/CEST)','mFRR','Local','Up','187','0',''
NO1 SCA,'12.09.2023 13:45 - 12.09.2023 14:00 (CET/CEST)','mFRR','Local','Down','80','0',''
NO1 SCA,'12.09.2023 14:00 - 12.09.2023 14:15 (CET/CEST)','mFRR','Local','Up','191','0',''
NO1 SCA,'12.09.2023 14:00 - 12.09.2023 14:15 (CET/CEST)','mFRR','Local','Down','78','0',''
NO1 SCA,'12.09.2023 14:15 - 12.09.2023 14:30 (CET/CEST)','mFRR','Local','Up','191','0',''
NO1 SCA,'12.09.2023 14:15 - 12.09.2023 14:30 (CET/CEST)','mFRR','Local','Down','78','0',''
NO1 SCA,'12.09.2023 14:30 - 12.09.2023 14:45 (CET/CEST)','mFRR','Local','Up','191','0',''
NO1 SCA,'12.09.2023 14:30 - 12.09.2023 14:45 (CET/CEST)','mFRR','Local','Down','78','0',''
NO1 SCA,'12.09.2023 14:45 - 12.09.2023 15:00 (CET/CEST)','mFRR','Local','Up','191','0',''
NO1 SCA,'12.09.2023 14:45 - 12.09.2023 15:00 (CET/CEST)','mFRR','Local','Down','78','0',''
NO1 SCA,'12.09.2023 15:00 - 12.09.2023 15:15 (CET/CEST)','mFRR','Local','Up','195','0',''
NO1 SCA,'12.09.2023 15:00 - 12.09.2023 15:15 (CET/CEST)','mFRR','Local','Down','70','0',''
NO1 SCA,'12.09.2023 15:15 - 12.09.2023 15:30 (CET/CEST)','mFRR','Local','Up','195','0',''
NO1 SCA,'12.09.2023 15:15 - 12.09.2023 15:30 (CET/CEST)','mFRR','Local','Down','70','0',''
NO1 SCA,'12.09.2023 15:30 - 12.09.2023 15:45 (CET/CEST)','mFRR','Local','Up','195','0',''
NO1 SCA,'12.09.2023 15:30 - 12.09.2023 15:45 (CET/CEST)','mFRR','Local','Down','70','0',''
NO1 SCA,'12.09.2023 15:45 - 12.09.2023 16:00 (CET/CEST)','mFRR','Local','Up','195','0',''
NO1 SCA,'12.09.2023 15:45 - 12.09.2023 16:00 (CET/CEST)','mFRR','Local','Down','70','0',''
NO1 SCA,'12.09.2023 16:00 - 12.09.2023 16:15 (CET/CEST)','mFRR','Local','Up','153','0',''
NO1 SCA,'12.09.2023 16:00 - 12.09.2023 16:15 (CET/CEST)','mFRR','Local','Down','68','0',''
NO1 SCA,'12.09.2023 16:15 - 12.09.2023 16:30 (CET/CEST)','mFRR','Local','Up','153','0',''
NO1 SCA,'12.09.2023 16:15 - 12.09.2023 16:30 (CET/CEST)','mFRR','Local','Down','68','0',''
NO1 SCA,'12.09.2023 16:30 - 12.09.2023 16:45 (CET/CEST)','mFRR','Local','Up','153','0',''
NO1 SCA,'12.09.2023 16:30 - 12.09.2023 16:45 (CET/CEST)','mFRR','Local','Down','68','0',''
NO1 SCA,'12.09.2023 16:45 - 12.09.2023 17:00 (CET/CEST)','mFRR','Local','Up','153','0',''
NO1 SCA,'12.09.2023 16:45 - 12.09.2023 17:00 (CET/CEST)','mFRR','Local','Down','68','0',''
NO1 SCA,'12.09.2023 17:00 - 12.09.2023 17:15 (CET/CEST)','mFRR','Local','Up','171','0',''
NO1 SCA,'12.09.2023 17:00 - 12.09.2023 17:15 (CET/CEST)','mFRR','Local','Down','72','0',''
NO1 SCA,'12.09.2023 17:15 - 12.09.2023 17:30 (CET/CEST)','mFRR','Local','Up','171','0',''
NO1 SCA,'12.09.2023 17:15 - 12.09.2023 17:30 (CET/CEST)','mFRR','Local','Down','72','0',''
NO1 SCA,'12.09.2023 17:30 - 12.09.2023 17:45 (CET/CEST)','mFRR','Local','Up','171','0',''
NO1 SCA,'12.09.2023 17:30 - 12.09.2023 17:45 (CET/CEST)','mFRR','Local','Down','72','0',''
NO1 SCA,'12.09.2023 17:45 - 12.09.2023 18:00 (CET/CEST)','mFRR','Local','Up','171','0',''
NO1 SCA,'12.09.2023 17:45 - 12.09.2023 18:00 (CET/CEST)','mFRR','Local','Down','72','0',''
NO1 SCA,'12.09.2023 18:00 - 12.09.2023 18:15 (CET/CEST)','mFRR','Local','Up','177','0',''
NO1 SCA,'12.09.2023 18:00 - 12.09.2023 18:15 (CET/CEST)','mFRR','Local','Down','85','0',''
NO1 SCA,'12.09.2023 18:15 - 12.09.2023 18:30 (CET/CEST)','mFRR','Local','Up','177','0',''
NO1 SCA,'12.09.2023 18:15 - 12.09.2023 18:30 (CET/CEST)','mFRR','Local','Down','85','0',''
NO1 SCA,'12.09.2023 18:30 - 12.09.2023 18:45 (CET/CEST)','mFRR','Local','Up','177','0',''
