"ISP","Area","Reserve Type","Type of Product","Direction","Offered (MW)","Activated (MW)","Unavailable (MW)"
"02/01/2024 22:00:00","SCA|NO2","mFRR","Local","Down","2056.00","0.00"," "
"02/01/2024 23:00:00","SCA|NO2","mFRR","Local","Up","5471.00","29.00"," "
"02/01/2024 23:00:00","SCA|NO2","mFRR","Local","Down","1768.00","0.00"," "
"03/01/2024 00:00:00","SCA|NO2","mFRR","Local","Up","5003.00","0.00"," "
"03/01/2024 00:00:00","SCA|NO2","mFRR","Local","Down","1663.00","0.00"," "
"03/01/2024 01:00:00","SCA|NO2","mFRR","Local","Up","4921.00","0.00"," "
"03/01/2024 01:00:00","SCA|NO2","mFRR","Local","Down","1895.00","0.00"," "
"03/01/2024 02:00:00","SCA|NO2","mFRR","Local","Up","4921.00","0.00"," "
"03/01/2024 02:00:00","SCA|NO2","mFRR","Local","Down","1897.00","0.00"," "
"03/01/2024 03:00:00","SCA|NO2","mFRR","Local","Up","5295.00","0.00"," "
"03/01/2024 03:00:00","SCA|NO2","mFRR","Local","Down","1524.00","0.00"," "
"03/01/2024 04:00:00","SCA|NO2","mFRR","Local","Up","5377.00","0.00"," "
"03/01/2024 04:00:00","SCA|NO2","mFRR","Local","Down","1438.00","0.00"," "
"03/01/2024 05:00:00","SCA|NO2","mFRR","Local","Up","5269.00","0.00"," "
"03/01/2024 05:00:00","SCA|NO2","mFRR","Local","Down","1785.00","0.00"," "
"03/01/2024 06:00:00","SCA|NO2","mFRR","Local","Up","4651.50","0.00"," "
"03/01/2024 06:00:00","SCA|NO2","mFRR","Local","Down","2154.50","0.00"," "
"03/01/2024 07:00:00","SCA|NO2","mFRR","Local","Up","3933.75","160.00"," "
"03/01/2024 07:00:00","SCA|NO2","mFRR","Local","Down","2784.00","0.00"," "
"03/01/2024 08:00:00","SCA|NO2","mFRR","Local","Up","3248.00","19.00"," "
"03/01/2024 08:00:00","SCA|NO2","mFRR","Local","Down","3549.00","0.00"," "
"03/01/2024 09:00:00","SCA|NO2","mFRR","Local","Up","2802.00","0.00"," "
"03/01/2024 09:00:00","SCA|NO2","mFRR","Local","Down","4045.00","0.00"," "
"03/01/2024 10:00:00","SCA|NO2","mFRR","Local","Up","2575.00","0.00"," "
"03/01/2024 10:00:00","SCA|NO2","mFRR","Local","Down","4248.00","0.00"," "
"03/01/2024 11:00:00","SCA|NO2","mFRR","Local","Up","2786.00","0.00"," "
"03/01/2024 11:00:00","SCA|NO2","mFRR","Local","Down","3993.00","0.00"," "
"03/01/2024 12:00:00","SCA|NO2","mFRR","Local","Up","2959.00","0.00"," "
"03/01/2024 12:00:00","SCA|NO2","mFRR","Local","Down","3798.00","0.00"," "
"03/01/2024 13:00:00","SCA|NO2","mFRR","Local","Up","3233.00","0.00"," "
