ISP (CET/CEST),Area,Reserve Type,Source,Type of Product,Price Type,Price Up (EUR/MWh),Price Down (EUR/MWh)
04/01/2024 08:00:00 - 04/01/2024 09:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,91.47
04/01/2024 09:00:00 - 04/01/2024 10:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,94.2,74.5
04/01/2024 10:00:00 - 04/01/2024 11:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,94.82,79.0
04/01/2024 11:00:00 - 04/01/2024 12:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,94.74,90.4
04/01/2024 12:00:00 - 04/01/2024 13:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,86.69,76.0
04/01/2024 13:00:00 - 04/01/2024 14:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,85.96,76.0
04/01/2024 14:00:00 - 04/01/2024 15:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,95.0,79.0
04/01/2024 15:00:00 - 04/01/2024 16:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,99.0,98.62
04/01/2024 16:00:00 - 04/01/2024 17:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,106.0,105.73
04/01/2024 17:00:00 - 04/01/2024 18:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,134.0,133.23
04/01/2024 18:00:00 - 04/01/2024 19:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,145.0,144.65
04/01/2024 19:00:00 - 04/01/2024 20:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,125.0,125.0
04/01/2024 20:00:00 - 04/01/2024 21:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,104.0,103.59
04/01/2024 21:00:00 - 04/01/2024 22:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,100.01,100.01
04/01/2024 22:00:00 - 04/01/2024 23:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,95.0,94.86
04/01/2024 23:00:00 - 05/01/2024 00:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,88.83,88.83
05/01/2024 00:00:00 - 05/01/2024 01:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,88.83,88.83
05/01/2024 01:00:00 - 05/01/2024 02:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,83.09,78.0
05/01/2024 02:00:00 - 05/01/2024 03:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,80.0,71.0
05/01/2024 03:00:00 - 05/01/2024 04:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,80.17,71.0
05/01/2024 04:00:00 - 05/01/2024 05:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,82.49,71.0
05/01/2024 05:00:00 - 05/01/2024 06:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,88.14,70.0
05/01/2024 06:00:00 - 05/01/2024 07:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,109.79,65.0
05/01/2024 07:00:00 - 05/01/2024 08:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,165.01,105.0
05/01/2024 08:00:00 - 05/01/2024 09:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,299.01,150.0
05/01/2024 09:00:00 - 05/01/2024 10:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,249.12,150.0
05/01/2024 10:00:00 - 05/01/2024 11:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,255.86,150.0
05/01/2024 11:00:00 - 05/01/2024 12:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,211.51,211.11
05/01/2024 12:00:00 - 05/01/2024 13:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,203.28,105.0
05/01/2024 13:00:00 - 05/01/2024 14:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,196.98,105.0
05/01/2024 14:00:00 - 05/01/2024 15:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,197.86,105.0
05/01/2024 15:00:00 - 05/01/2024 16:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,299.94,105.0
05/01/2024 16:00:00 - 05/01/2024 17:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,449.64,105.0
05/01/2024 17:00:00 - 05/01/2024 18:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,526.25,105.0
05/01/2024 18:00:00 - 05/01/2024 19:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,349.95,105.0
05/01/2024 19:00:00 - 05/01/2024 20:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,181.91,105.0
05/01/2024 20:00:00 - 05/01/2024 21:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,149.6,105.0
05/01/2024 21:00:00 - 05/01/2024 22:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,112.82,105.0
05/01/2024 22:00:00 - 05/01/2024 23:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,100.1,98.6
05/01/2024 23:00:00 - 06/01/2024 00:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.87,92.87
06/01/2024 00:00:00 - 06/01/2024 01:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,103.47,84.88
06/01/2024 01:00:00 - 06/01/2024 02:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,95.0,83.2
06/01/2024 02:00:00 - 06/01/2024 03:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,94.33,82.03
06/01/2024 03:00:00 - 06/01/2024 04:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,93.0,82.18
06/01/2024 04:00:00 - 06/01/2024 05:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.7,82.53
06/01/2024 05:00:00 - 06/01/2024 06:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,86.5,84.13
06/01/2024 06:00:00 - 06/01/2024 07:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,86.5,84.48
06/01/2024 07:00:00 - 06/01/2024 08:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,87.43,87.43
06/01/2024 08:00:00 - 06/01/2024 09:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,90.87,90.87
06/01/2024 09:00:00 - 06/01/2024 10:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,94.98,82.0
06/01/2024 10:00:00 - 06/01/2024 11:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,100.41,82.0
06/01/2024 11:00:00 - 06/01/2024 12:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,105.0,103.65
06/01/2024 12:00:00 - 06/01/2024 13:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,104.0,102.33
06/01/2024 13:00:00 - 06/01/2024 14:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,98.0,97.75
06/01/2024 14:00:00 - 06/01/2024 15:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,96.0,95.51
06/01/2024 15:00:00 - 06/01/2024 16:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,98.5,98.5
06/01/2024 16:00:00 - 06/01/2024 17:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,110.0,110.0
06/01/2024 17:00:00 - 06/01/2024 18:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,120.0,118.27
06/01/2024 18:00:00 - 06/01/2024 19:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,119.0,106.94
06/01/2024 19:00:00 - 06/01/2024 20:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,119.0,102.27
06/01/2024 20:00:00 - 06/01/2024 21:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,104.0,94.98
06/01/2024 21:00:00 - 06/01/2024 22:00:00,SCA|NO1,mFRR,Not Specified,Not Specified,MARGINAL,92.0,90.63
